set G := 0 1 2 3 4 5 6 7 8 9 ;
set T := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 ;
set Tshift := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23;
set L := 0 ;

param:  G:      Pmin        Pmax        Rmax        RU      RD        cost_fixed      cost_marginal     cost_reserve   cost_startup:=
        0       500         1540        1000        3000     4000        19130           51.89            0               0
        1       500         1700        1000        3000     4000        19484           57.46            0               0
        2       500         1750        1000        3000     4000        21890           52.53            0               0
        3       500         1900        1000        3000     4000        8934            25.59            0               0
        4       500         1850        1000        3000     4000        10825           26.51            0               0
        5       500         1950        1000        3000     4000        6647            17.41            0               0
        6       500         1880        1000        3000     4000        12406           26.58            0               0
        7       500         1800        1000        3000     4000        5990            12.85            0               0
        8       500         2100        1000        3000     4000        6171            13.71            0               0
        9       500         2300        1000        3000     4000        4541            10.98            0               0
        ;

param PL: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 :=
0        9450 9100 8950 8940 9250 10190 11870 12880 13160 13310 13420 13520 13540 13690 13740 13840 14040 14420 15000 14940 14170 13050 11770 10670
;

param Rmin_sys :=100 ;
