set G := 0 1 2 3 4 5 6 7 8 9 ;
set T := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 ;
set L := 0 ;

param:  G:      Pmin        Pmax        cost_fixed      cost_marginal :=
        0       500         1540        19130           51.89
        1       500         1700        19484           57.46
        2       500         1750        21890           52.53
        3       500         1900        8934            25.59
        4       500         1850        10825           26.51
        5       500         1950        6647            17.41
        6       500         1880        12406           26.58
        7       500         1800        5990            12.85
        8       500         2100        6171            13.71
        9       500         2300        4541            10.98
        ;

param P: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 :=                                       #attack
0        9450 9100 8950 8940 9250 10190 11870 12880 13160 13310 13420 13520 13540 13690 13740 13840 14040 14420 14520 14940 14170 13050 11770 10670
;
